def,desc,class,moduleColor
K03307,"solute:Na+ symporter, SSS family",TC.SSS,turquoise
K03313,"Na+:H+ antiporter, NhaA family",nhaA,blue
K03316,"monovalent cation:H+ antiporter, CPA1 family",TC.CPA1,blue
K03317,"concentrative nucleoside transporter, CNT family",TC.CNT,brown
K03320,"ammonium transporter, Amt family","amt, AMT, MEP",brown
K03321,"sulfate permease, SulP family",TC.SULP,brown
K03322,manganese transport protein,mntH,turquoise
K03325,"arsenite transporter, ACR3 family",TC.ACR3,blue
K03327,"multidrug resistance protein, MATE family","TC.MATE, SLC47A, norM, mdtK, dinF",brown
K03335,inosose dehydratase [EC:4.2.1.44],iolE,turquoise
K03347,cullin 1,"CUL1, CDC53",blue
K03348,anaphase-promoting complex subunit 1,APC1,brown
K03350,anaphase-promoting complex subunit 3,"APC3, CDC27",blue
K03355,anaphase-promoting complex subunit 8,"APC8, CDC23",blue
K03364,"cell division cycle 20-like protein 1, cofactor of APC complex",CDH1,brown
K03372,"MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]","ACATN, SLC33A1",turquoise
K03379,cyclohexanone monooxygenase [EC:1.14.13.22],E1.14.13.22,turquoise
K03403,magnesium chelatase subunit H [EC:6.6.1.1],"chlH, bchH",turquoise
K03406,methyl-accepting chemotaxis protein,mcp,turquoise
K03428,magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11],"E2.1.1.11, chlM, bchM",brown
K03429,"processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.157 2.4.1.315]",ugtP,yellow
K03456,serine/threonine-protein phosphatase 2A regulatory subunit A,PPP2R1,blue
K03458,"nucleobase:cation symporter-2, NCS2 family",TC.NCS2,turquoise
K03462,nicotinamide phosphoribosyltransferase [EC:2.4.2.12],NAMPT,turquoise
K03466,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family","ftsK, spoIIIE",turquoise
K03515,DNA repair protein REV1 [EC:2.7.7.-],REV1,brown
K03521,electron transfer flavoprotein beta subunit,"fixA, etfB",grey
K03527,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2],"ispH, lytB",turquoise
K03529,chromosome segregation protein,smc,blue
K03530,DNA-binding protein HU-beta,hupB,turquoise
K03549,KUP system potassium uptake protein,kup,blue
K03574,8-oxo-dGTP diphosphatase [EC:3.6.1.55],"mutT, NUDT15, MTH2",yellow
K03578,ATP-dependent helicase HrpA [EC:3.6.4.13],hrpA,yellow
K03596,GTP-binding protein LepA,lepA,yellow
K03626,nascent polypeptide-associated complex subunit alpha,"EGD2, NACA",blue
K03627,putative transcription factor,MBF1,turquoise
K03644,lipoic acid synthetase [EC:2.8.1.8],lipA,turquoise
K03646,colicin import membrane protein,tolA,turquoise
K03671,thioredoxin 1,trxA,brown
K03675,glutaredoxin 2,grxB,turquoise
K03676,glutaredoxin 3,"grxC, GLRX, GLRX2",brown
K03686,molecular chaperone DnaJ,dnaJ,brown
K03687,molecular chaperone GrpE,GRPE,turquoise
K03688,ubiquinone biosynthesis protein,"ubiB, aarF",yellow
K03704,"cold shock protein (beta-ribbon, CspA family)",cspA,blue
K03737,pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-],"por, nifJ",grey
K03741,arsenate reductase [EC:1.20.4.1],"ARSC2, arsC",turquoise
K03762,"MFS transporter, MHS family, proline/betaine transporter",proP,blue
K03768,peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8],"PPIB, ppiB",turquoise
K03769,peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8],ppiC,blue
K03773,FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8],fklB,turquoise
K03778,D-lactate dehydrogenase [EC:1.1.1.28],ldhA,turquoise
K03782,catalase-peroxidase [EC:1.11.1.21],katG,blue
K03783,purine-nucleoside phosphorylase [EC:2.4.2.1],punA,blue
K03789,ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128],rimI,turquoise
K03797,carboxyl-terminal processing protease [EC:3.4.21.102],"E3.4.21.102, prc, ctpA",blue
K03798,cell division protease FtsH [EC:3.4.24.-],"ftsH, hflB",turquoise
K03817,ribosomal-protein-serine acetyltransferase [EC:2.3.1.-],rimL,turquoise
K03839,flavodoxin I,"fldA, nifF, isiB",turquoise
K03841,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]","FBP, fbp",turquoise
K03852,sulfoacetaldehyde acetyltransferase [EC:2.3.3.15],xsc,turquoise
K03868,RING-box protein 1,"RBX1, ROC1",turquoise
K03869,cullin 3,CUL3,yellow
K03872,"transcription elongation factor B, polypeptide 1",TCEB1,turquoise
K03885,NADH dehydrogenase [EC:1.6.99.3],ndh,brown
K03927,carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56],CES2,blue
K03931,putative isomerase,ygjK,blue
K03932,polyhydroxybutyrate depolymerase,lpqC,blue
K04040,chlorophyll synthase [EC:2.5.1.62],"chlG, bchG",brown
K04043,molecular chaperone DnaK,dnaK,blue
K04078,chaperonin GroES,"groES, HSPE1",blue
K04079,molecular chaperone HtpG,"htpG, HSP90A",blue
K04080,molecular chaperone IbpA,ibpA,turquoise
K04087,membrane protease subunit HflC [EC:3.4.-.-],hflC,turquoise
K04126,isopenicillin-N synthase [EC:1.21.3.1],PCBC,turquoise
K04345,protein kinase A [EC:2.7.11.11],PKA,yellow
K04348,serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16],"PPP3C, CNA",yellow
K04371,mitogen-activated protein kinase 1/3 [EC:2.7.11.24],MAPK1_3,blue
K04382,serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16],PPP2C,blue
K04420,mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25],"MAP3K2, MEKK2",blue
K04424,sterile alpha motif and leucine zipper containing kinase AZK [EC:2.7.11.25],"ZAK, MLTK",turquoise
K04427,mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25],"MAP3K7, TAK1",blue
K04456,RAC serine/threonine-protein kinase [EC:2.7.11.1],AKT,turquoise
K04459,dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48],"DUSP, MKP",blue
K04460,serine/threonine-protein phosphatase 5 [EC:3.1.3.16],PPP5C,yellow
K04461,protein phosphatase 1B [EC:3.1.3.16],"PPM1B, PP2CB",brown
K04487,cysteine desulfurase [EC:2.8.1.7],"iscS, NFS1",yellow
K04488,nitrogen fixation protein NifU and related proteins,"iscU, nifU",blue
K04499,RuvB-like protein 1 (pontin 52),"RUVBL1, RVB1, INO80H",turquoise
K04507,calcyclin binding protein,"CACYBP, SIP",blue
K04508,transducin (beta)-like 1,TBL1,turquoise
K04523,ubiquilin,"UBQLN, DSK2",turquoise
K04550,low-density lipoprotein receptor-related protein 1 (alpha-2-macroglobulin receptor),"LRP1, CD91",blue
K04561,nitric oxide reductase subunit B [EC:1.7.2.5],norB,yellow
K04563,cyclin-dependent kinase [EC:2.7.11.22],"CDC28, CDC2",turquoise
K04564,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",SOD2,turquoise
K04565,"superoxide dismutase, Cu-Zn family [EC:1.15.1.1]",SOD1,blue
K04567,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]","KARS, lysS",turquoise
K04611,metabotropic X receptor,MXR,turquoise
K04615,gamma-aminobutyric acid type B receptor,GABBR,blue
K04638,estrogen-related receptor beta like 1,"ESRRBL1, HIPPI",turquoise
K04646,clathrin heavy chain,CLTC,blue
K04688,p70 ribosomal S6 kinase [EC:2.7.11.1],RPS6KB,blue
K04706,E3 SUMO-protein ligase PIAS1 [EC:6.3.2.-],PIAS1,blue
K04712,sphingolipid delta-4 desaturase [EC:1.14.-.-],DEGS,turquoise
K04733,interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],IRAK4,turquoise
K04739,cAMP-dependent protein kinase regulator,PRKAR,yellow
K04799,flap endonuclease-1 [EC:3.-.-.-],"FEN1, RAD2",turquoise
K04802,proliferating cell nuclear antigen,PCNA,turquoise
K04911,potassium voltage-gated channel Eag-related subfamily H member 8,KCNH8,turquoise
K04936,potassium large conductance calcium-activated channel subfamily M alpha member 1,KCNMA1,turquoise
K04954,hyperpolarization activated cyclic nucleotide-gated potassium channel 1,HCN1,brown
K04958,"inositol 1,4,5-triphosphate receptor type 1",ITPR1,brown
K04986,polycystin 2,PKD2,turquoise
K04990,polycystin 2L1,PKD2L1,turquoise
K05011,chloride channel 2,CLCN2,turquoise
K05015,chloride channel 6,CLCN6,blue
K05016,chloride channel 7,CLCN7,brown
K05122,receptor tyrosine kinase-like orphan receptor 1 [EC:2.7.10.1],"ROR1, NTRKR1",turquoise
K05181,gamma-aminobutyric acid receptor subunit beta,GABRB,blue
K05218,P2X purinoceptor 4,P2RX4,brown
K05236,"coatomer protein complex, subunit alpha (xenin)",COPA,blue
K05298,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],GAPA,turquoise
K05303,O-methyltransferase [EC:2.1.1.-],K05303,blue
K05309,microsomal prostaglandin-E synthase 2 [EC:5.3.99.3],PTGES2,yellow
K05315,"voltage-dependent calcium channel alpha 1, invertebrate",CACNA1N,brown
K05321,"potassium voltage-gated channel Shal-related subfamily D, invertebrate",KCNDN,turquoise
K05322,"potassium voltage-gated channel Eag-related subfamily H, invertebrate",KCNHN,turquoise
K05326,"cyclic nucleotide gated channel, invertebrate",CNGN,blue
K05340,glucose uptake protein,glcU,blue
K05349,beta-glucosidase [EC:3.2.1.21],bglX,blue
K05350,beta-glucosidase [EC:3.2.1.21],bglB,turquoise
K05360,protein-disulfide reductase (glutathione) [EC:1.8.4.2],TXNDC12,turquoise
K05366,penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-],mrcA,turquoise
K05369,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]",pebA,turquoise
K05388,"voltage-gated sodium channel alpha, invertebrate",SCNAN,turquoise
K05389,"potassium channel subfamily K, other eukaryote",KCNKF,turquoise
K05393,NA,NA,brown
K05460,hepatocyte growth factor,HGF,turquoise
K05516,curved DNA-binding protein,cbpA,turquoise
K05521,ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24],draG,turquoise
K05523,molecular chaperone Hsp31 and glyoxalase 3 [EC:4.2.1.130],hchA,yellow
K05533,mannan polymerase II complex ANP1 subunit [EC:2.4.1.-],ANP1,turquoise
K05539,tRNA-dihydrouridine synthase A [EC:1.-.-.-],dusA,blue
K05542,tRNA-dihydrouridine synthase 1 [EC:1.3.1.88],DUS1,brown
K05544,tRNA-dihydrouridine synthase 3 [EC:1.3.1.89],DUS3,blue
K05546,"alpha 1,3-glucosidase [EC:3.2.1.84]",GANAB,brown
K05609,ubiquitin carboxyl-terminal hydrolase L3 [EC:3.4.19.12],"UCHL3, YUH1",turquoise
K05610,ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12],"UCHL5, UCH37",blue
K05641,"ATP-binding cassette, subfamily A (ABC1), member 1",ABCA1,brown
K05642,"ATP-binding cassette, subfamily A (ABC1), member 2",ABCA2,brown
K05643,"ATP-binding cassette, subfamily A (ABC1), member 3",ABCA3,turquoise
K05655,"ATP-binding cassette, subfamily B (MDR/TAP), member 8",ABCB8,turquoise
K05656,"ATP-binding cassette, subfamily B (MDR/TAP), member 9","ABCB9, TAPL",turquoise
K05658,"ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]",ABCB1,blue
K05670,"ATP-binding cassette, subfamily C (CFTR/MRP), member 13",ABCC13,turquoise
K05674,"ATP-binding cassette, subfamily C (CFTR/MRP), member 10",ABCC10,turquoise
K05692,actin beta/gamma 1,ACTB_G1,blue
K05755,"actin related protein 2/3 complex, subunit 4",ARPC4,yellow
K05765,cofilin,CFL,grey
K05768,gelsolin,GSN,blue
K05791,tellurium resistance protein TerZ,terZ,blue
K05794,tellurite resistance protein TerC,terC,turquoise
K05795,tellurium resistance protein TerD,terD,turquoise
K05838,putative thioredoxin,ybbN,turquoise
K05849,solute carrier family 8 (sodium/calcium exchanger),"SLC8A, NCX",brown
K05850,"Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]",ATP2B,turquoise
K05853,"Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:3.6.3.8]",ATP2A,blue
K05863,"solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31","SLC25A4S, ANT",turquoise
K05864,peptidyl-prolyl isomerase D [EC:5.2.1.8],"PPID, CYPD",yellow
K05868,cyclin B,CCNB,brown
K05869,calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17],CAMK4,brown
K05885,NA,NA,blue
K05914,photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7],E1.13.12.7,turquoise
K05916,nitric oxide dioxygenase [EC:1.14.12.17],"hmp, YHB1",blue
K05917,sterol 14-demethylase [EC:1.14.13.70],CYP51,brown
K05925,mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62],METTL3_14,yellow
K05955,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59],FNTA,turquoise
K05970,sialate O-acetylesterase [EC:3.1.1.53],SIAE,blue
K05989,alpha-L-rhamnosidase [EC:3.2.1.40],E3.2.1.40,blue
K06013,STE24 endopeptidase [EC:3.4.24.84],STE24,brown
K06025,NA,NA,turquoise
K06027,vesicle-fusing ATPase [EC:3.6.4.6],NSF,brown
K06047,tubulin---tyrosine ligase [EC:6.3.2.25],TTL,blue
K06051,delta,DLL,turquoise
K06052,jagged,JAGGED,turquoise
K06063,SNW domain-containing protein 1,"SNW1, SKIIP, SKIP",blue
K06129,lysophospholipase III [EC:3.1.1.5],LYPLA3,turquoise
K06130,lysophospholipase II [EC:3.1.1.5],LYPLA2,yellow
K06133,4'-phosphopantetheinyl transferase [EC:2.7.8.-],"LYS5, acpT",brown
K06147,"ATP-binding cassette, subfamily B, bacterial",ABCB-BAC,brown
K06148,"ATP-binding cassette, subfamily C, bacterial",ABCC-BAC,yellow
K06158,"ATP-binding cassette, subfamily F, member 3",ABCF3,blue
K06174,"ATP-binding cassette, sub-family E, member 1",ABCE1,yellow
K06178,23S rRNA pseudouridine2605 synthase [EC:5.4.99.22],rluB,blue
K06179,23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24],rluC,turquoise
K06180,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],rluD,brown
K06184,"ATP-binding cassette, subfamily F, member 1",ABCF1,brown
K06185,"ATP-binding cassette, subfamily F, member 2",ABCF2,blue
K06188,aquaporin Z,aqpZ,brown
K06207,GTP-binding protein,"typA, bipA",turquoise
K06213,magnesium transporter,mgtE,turquoise
K06215,pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6],"pdxS, pdx1",turquoise
K06221,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",dkgA,blue
K06224,hedgehog,HH,blue
K06225,patched 1,PTCH1,yellow
K06228,fused [EC:2.7.11.1],FU,blue
K06233,low density lipoprotein-related protein 2,LRP2,turquoise
K06240,"laminin, alpha 3/5",LAMA3_5,blue
K06268,serine/threonine-protein phosphatase 2B regulatory subunit,"PPP3R, CNB",brown
K06269,serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16],PPP1C,blue
K06515,"solute carrier family 44 (choline transporter-like protein), member 1","SLC44A1, CDW92",turquoise
K06560,"mannose receptor, C type",MRC,yellow
K06580,ammonium transporter Rh,"SLC42A, RHAG, RHBG, RHCG",turquoise
K06627,cyclin A,CCNA,turquoise
K06630,14-3-3 protein epsilon,YWHAE,blue
K06631,polo-like kinase 1 [EC:2.7.11.21],PLK1,blue
K06632,wee1-like protein kinase [EC:2.7.11.1],WEE1,turquoise
K06633,membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1],PKMYT,turquoise
K06636,structural maintenance of chromosome 1,SMC1,brown
K06639,cell division cycle 14 [EC:3.1.3.16 3.1.3.48],CDC14,blue
K06641,serine/threonine-protein kinase Chk2 [EC:2.7.11.1],CHK2,yellow
K06665,glucose repression mediator protein,SSN6,turquoise
K06669,structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6),"SMC3, CSPG6",brown
K06674,structural maintenance of chromosome 2,SMC2,blue
K06675,structural maintenance of chromosome 4,SMC4,turquoise
K06676,condensin complex subunit 2,"BRRN1, BRN1, CAPH",blue
K06677,condensin complex subunit 1,"YCS4, CNAP1, CAPD2",brown
K06683,cell division control protein CDC15 [EC:2.7.11.1],CDC15,yellow
K06685,MOB kinase activator 1,"MOB1, Mats",blue
K06688,ubiquitin-conjugating enzyme E2 C [EC:6.3.2.19],"UBE2C, UBC11",turquoise
K06689,ubiquitin-conjugating enzyme E2 D/E [EC:6.3.2.19],"UBE2D_E, UBC4, UBC5",blue
K06694,26S proteasome non-ATPase regulatory subunit 10,PSMD10,turquoise
K06867,uncharacterized protein,K06867,blue
K06883,uncharacterized protein,K06883,blue
K06886,hemoglobin,glbN,brown
K06889,uncharacterized protein,K06889,blue
K06890,uncharacterized protein,K06890,turquoise
K06892,feruloyl-CoA ortho-hydroxylase [EC:1.14.11.-],F6H1,yellow
K06901,"putative MFS transporter, AGZA family, xanthine/uracil permease",pbuG,turquoise
K06911,uncharacterized protein,K06911,blue
K06916,cell division protein ZapE,zapE,turquoise
K06917,tRNA 2-selenouridine synthase [EC:2.9.1.-],selU,turquoise
K06941,23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192],rlmN,yellow
K06942,uncharacterized protein,K06942,turquoise
K06950,uncharacterized protein,K06950,turquoise
K06955,uncharacterized protein,K06955,brown
K06959,protein Tex,tex,turquoise
K06961,ribosomal RNA assembly protein,KRR1,blue
K06966,uncharacterized protein,K06966,turquoise
K06972,uncharacterized protein,K06972,blue
K06978,uncharacterized protein,K06978,blue
K06994,putative drug exporter of the RND superfamily,K06994,turquoise
K06997,PLP dependent protein,"yggS, PROSC",brown
K06999,phospholipase/carboxylesterase,K06999,brown
K07004,uncharacterized protein,K07004,turquoise
K07018,uncharacterized protein,K07018,brown
K07023,putative hydrolases of HD superfamily,K07023,yellow
K07024,uncharacterized protein,K07024,brown
K07025,putative hydrolase of the HAD superfamily,K07025,brown
K07045,uncharacterized protein,K07045,yellow
K07046,L-fuconolactonase [EC:3.1.1.-],K07046,turquoise
K07055,tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114],"TRM12, TYW2",yellow
K07090,uncharacterized protein,K07090,brown
K07093,uncharacterized protein,K07093,grey
K07101,uncharacterized protein,K07101,turquoise
K07114,Ca-activated chloride channel homolog,yfbK,blue
K07117,uncharacterized protein,K07117,brown
K07119,uncharacterized protein,K07119,brown
K07124,uncharacterized protein,K07124,blue
K07126,uncharacterized protein,K07126,brown
K07127,5-hydroxyisourate hydrolase [EC:3.5.2.17],"uraH, pucM, hiuH",turquoise
K07140,uncharacterized protein,K07140,brown
K07151,dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.99.18],STT3,blue
K07190,phosphorylase kinase alpha/beta subunit,PHKA_B,blue
K07192,flotillin,FLOT,turquoise
K07226,heme iron utilization protein,"hugZ, hutZ",blue
K07238,"zinc transporter, ZIP family","TC.ZIP, zupT, ZRT3, ZIP2",yellow
K07241,high-affinity nickel-transport protein,nixA,brown
K07243,high-affinity iron transporter,"FTR, efeU",blue
K07252,dolichyldiphosphatase [EC:3.6.1.43],E3.6.1.43,yellow
K07270,"glycosyl transferase, family 25",K07270,turquoise
K07282,poly-gamma-glutamate synthesis protein (capsule biosynthesis protein),"pgsA, capA",turquoise
K07299,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1","SLC2A1, GLUT1",blue
K07300,Ca2+:H+ antiporter,"chaA, CAX",turquoise
K07304,peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11],msrA,turquoise
K07305,peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],msrB,turquoise
K07335,basic membrane protein A and related proteins,"bmpA, bmpB, tmpC",blue
K07364,tyrosine-protein kinase Tec [EC:2.7.10.2],TEC,turquoise
K07374,tubulin alpha,TUBA,blue
K07375,tubulin beta,TUBB,blue
K07376,cGMP-dependent protein kinase 1 [EC:2.7.11.12],PRKG1,blue
K07386,putative endopeptidase [EC:3.4.24.-],pepO,brown
K07401,selenoprotein W-related protein,K07401,brown
K07404,6-phosphogluconolactonase [EC:3.1.1.31],pgl,blue
K07407,alpha-galactosidase [EC:3.2.1.22],"E3.2.1.22B, galA, rafA",blue
K07441,"beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]",ALG14,brown
K07466,replication factor A1,"RFA1, RPA1, rpa",turquoise
K07516,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],fadN,turquoise
K07542,"phosphatidylinositol glycan, class V [EC:2.4.1.-]",PIGV,yellow
K07745,hypothetical protein,K07745,turquoise
K07749,formyl-CoA transferase [EC:2.8.3.16],frc,brown
K07750,methylsterol monooxygenase [EC:1.14.13.72],"E1.14.13.72, SC4MOL, ERG25",turquoise
K07759,poly(ADP-ribose) glycohydrolase [EC:3.2.1.143],PARG,blue
K07760,cyclin-dependent kinase [EC:2.7.11.22],CDK,blue
K07874,Ras-related protein Rab-1A,RAB1A,blue
K07890,Ras-related protein Rab-21,RAB21,turquoise
K07897,Ras-related protein Rab-7A,RAB7A,blue
K07904,Ras-related protein Rab-11A,RAB11A,blue
K07912,Ras-related protein Rab-24,RAB24,yellow
K07915,Ras-related protein Rab-28,RAB28,grey
K07934,intraflagellar transport protein 27 homolog,"IFT27, RAYL, RABL4",brown
K07935,Rab-like protein 5,RABL5,turquoise
K07937,ADP-ribosylation factor 1,ARF1,turquoise
K07942,ADP-ribosylation factor-like protein 1,ARL1,yellow
K07944,ADP-ribosylation factor-like protein 3,ARL3,blue
K07951,ADP-ribosylation factor-like protein 6,"ARL6, BBS3",yellow
K07952,ADP-ribosylation factor related protein 1,ARFRP1,brown
K07953,GTP-binding protein SAR1 [EC:3.6.5.-],SAR1,blue
K07975,"Rho family, other",K07975,turquoise
K07976,"Rab family, other",RAB,turquoise
K07977,"Arf/Sar family, other",ARF,blue
K08017,advillin,AVIL,brown
K08054,calnexin,CANX,turquoise
K08056,"protein disulfide isomerase family A, member 3 [EC:5.3.4.1]","PDIA3, GRP58",yellow
K08057,calreticulin,CALR,blue
K08059,"interferon, gamma-inducible protein 30","IFI30, GILT",turquoise
K08076,astacin [EC:3.4.24.21],E3.4.24.21,brown
K08099,chlorophyllase [EC:3.1.1.14],E3.1.1.14,turquoise
K08137,"MFS transporter, SP family, galactose:H+ symporter",galP,blue
K08139,"MFS transporter, SP family, sugar:H+ symporter",HXT,turquoise
K08150,"MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13","SLC2A13, ITR",blue
K08151,"MFS transporter, DHA1 family, tetracycline resistance protein",tetA,brown
K08176,"MFS transporter, PHS family, inorganic phosphate transporter",PHO84,turquoise
K08177,"MFS transporter, OFA family, oxalate/formate antiporter",oxlT,brown
K08195,"MFS transporter, AAHS family, 4-hydroxybenzoate transporter",pcaK,brown
K08239,UDP-N-acetylglucosamine-lysosomal-enzyme [EC:2.7.8.17],GNPTAB,yellow
K08245,phytepsin [EC:3.4.23.40],E3.4.23.40,turquoise
K08272,calcium binding protein 39,"CAB39, MO25",turquoise
K08281,nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-],pncA,turquoise
K08282,non-specific serine/threonine protein kinase [EC:2.7.11.1],E2.7.11.1,blue
K08286,protein-serine/threonine kinase [EC:2.7.11.-],E2.7.11.-,brown
K08288,protein kinase C substrate 80K-H,PRKCSH,brown
K08293,mitogen-activated protein kinase [EC:2.7.11.24],E2.7.11.24,blue
K08332,vacuolar protein 8,VAC8,turquoise
K08334,beclin 1,"BECN1, VPS30, ATG6",brown
K08341,GABA(A) receptor-associated protein,"GABARAP, ATG8, LC3",blue
K08368,"MFS transporter, putative metabolite transport protein",yaaU,yellow
K08369,"MFS transporter, putative metabolite:H+ symporter",ydjE,brown
K08488,syntaxin 7,STX7,yellow
K08489,syntaxin 16,STX16,yellow
K08493,vesicle transport through interaction with t-SNAREs 1,VTI1,brown
K08498,syntaxin 6,STX6,turquoise
K08515,vesicle-associated membrane protein 7,VAMP7,yellow
K08516,synaptobrevin homolog YKT6,YKT6,blue
K08568,cathepsin X [EC:3.4.18.1],CTSZ,blue
K08572,cysteine peptidase C [EC:3.4.22.-],CPC,turquoise
K08582,calpain-15 [EC:3.4.22.-],CAPN15,blue
K08585,"calpain, invertebrate [EC:3.4.22.-]",CAPNN,turquoise
K08606,meprin B [EC:3.4.24.63],MEP1B,turquoise
K08675,Lon-like ATP-dependent protease [EC:3.4.21.-],"PRSS15, PIM1",turquoise
K08681,5'-phosphate synthase pdxT subunit [EC:4.3.3.6],"pdxT, pdx2",brown
K08691,malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25],mcl,turquoise
K08714,voltage-gated sodium channel,VGSC,brown
K08738,cytochrome c,CYC,turquoise
K08745,"solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-]","SLC27A1_4, FATP1, FATP4",blue
K08764,sterol carrier protein 2 [EC:2.3.1.176],"SCP2, SCPX",brown
K08770,ubiquitin C,UBC,turquoise
K08776,puromycin-sensitive aminopeptidase [EC:3.4.11.-],NPEPPS,yellow
K08790,serine/threonine kinase 38 [EC:2.7.11.1],"STK38, NDR",turquoise
K08794,calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17],CAMK1,turquoise
K08798,MAP/microtubule affinity-regulating kinase [EC:2.7.11.1],MARK,brown
K08799,maternal embryonic leucine zipper kinase [EC:2.7.11.1],MELK,blue
K08802,SNF related kinase [EC:2.7.11.1],SNRK,blue
K08805,doublecortin-like kinase 1/2 [EC:2.7.11.1],DCLK1_2,brown
K08818,cell division cycle 2-like [EC:2.7.11.22],CDC2L,brown
K08823,CDC-like kinase [EC:2.7.12.1],CLK,brown
K08824,cyclin-dependent kinase-like [EC:2.7.11.22],CDKL,turquoise
K08827,serine/threonine-protein kinase PRP4 [EC:2.7.11.1],PRPF4B,turquoise
K08829,male germ cell-associated kinase [EC:2.7.11.22],MAK,grey
K08830,renal tumor antigen [EC:2.7.11.22],"RAGE, MOK",blue
K08832,serine/threonine-protein kinase SRPK3 [EC:2.7.11.1],"SRPK3, STK23",yellow
K08843,leucine-rich repeat kinase 1 [EC:2.7.11.1],LRRK1,brown
K08850,"aurora kinase, other [EC:2.7.11.1]",AURKX,turquoise
K08855,cyclin G-associated kinase [EC:2.7.11.1],GAK,turquoise
K08857,NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1],NEK,yellow
K08860,eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1],EIF2AK3,yellow
K08866,serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1],"TTK, MPS1",brown
K08869,aarF domain-containing kinase,"ADCK, ABC1",brown
K08876,SCY1-like protein 1,SCYL1,brown
K08884,"serine/threonine protein kinase, bacterial [EC:2.7.11.1]",K08884,brown
K08900,mitochondrial chaperone BCS1,BCS1,turquoise
K08907,light-harvesting complex I chlorophyll a/b binding protein 1,LHCA1,turquoise
K08957,"casein kinase 1, alpha [EC:2.7.11.1]",CSNK1A,yellow
K08994,putative membrane protein,yneE,turquoise
K09005,uncharacterized protein,K09005,turquoise
K09140,pre-rRNA-processing protein TSR3,TSR3,blue
