,St.1_50m,St.1_90m,St.3_40m,St.3_60m,St.3_80m,St.5_20m,St.5_50m,St. 5_80m,St.6_40m,St.6_80m,St.8_40m,St.8_70m,St.9_40m,St.9_70m,St.12_40m
K03773_FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8],92.15395558,48.75218323,94.62943707,76.5808323,84.34272368,62.15194067,53.68680565,65.57586509,81.60885374,45.05467895,45.93777093,45.0065894,87.07114762,60.58753303,73.28687164
K03778_D-lactate dehydrogenase [EC:1.1.1.28],2.045314363,5.235929609,11.09610665,7.87325071,8.658707612,6.242160158,23.12032789,12.31650963,23.99769816,24.78006116,17.67735716,26.12620823,29.51669126,0.254513913,0
K03782_catalase-peroxidase [EC:1.11.1.21],119.6917983,140.7254303,109.3992575,71.99777636,28.34615353,22.73177982,55.8976599,51.25376628,17.95887135,19.5639239,19.67406623,20.07450643,34.1702137,95.08263008,75.112412
K03783_purine-nucleoside phosphorylase [EC:2.4.2.1],2.271125443,2.060261057,6.868727314,8.858850191,0.913497557,6.917283282,12.11862356,4.851822095,6.551857435,3.72152932,4.461575793,4.911288848,8.149872752,2.66662192,3.702125657
K03789_ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128],0,0,0,0.319710572,0,1.029465033,2.986910409,0,4.390008784,0.9738221,10.53403763,0.420674479,0,0,0
K03797_carboxyl-terminal processing protease [EC:3.4.21.102],0,0,0,0,0,0,0,1.048597477,0,0,0,0,0,7.357720031,0
K03798_cell division protease FtsH [EC:3.4.24.-],3.710701012,0,0,0.989717272,0,2.124586871,0,6.494788134,0.696923213,2.344710938,1.499304198,3.90680354,0,0,0.654432317
K03817_ribosomal-protein-serine acetyltransferase [EC:2.3.1.-],0,7.101605676,0,0,1.791456747,0,4.999311587,5.852583177,0.753613696,0,0.405315878,0,0.581066162,1.263568188,0
K03839_flavodoxin I,282.203465,331.3138679,405.9186095,362.8956698,417.1577153,1118.632721,920.9213368,897.6612465,891.2672022,935.5691477,783.1984195,751.020019,861.178557,686.93883,208.5151325
"K03841_fructose-1,6-bisphosphatase I [EC:3.1.3.11]",38.88794963,22.9433165,16.10607265,23.06997249,4.788662904,19.3610439,36.70851487,21.02932372,13.04387857,16.5519231,24.0434439,15.45985533,33.71711409,8.866310244,16.84142036
K03852_sulfoacetaldehyde acetyltransferase [EC:2.3.3.15],40.67427152,52.44722895,46.9764379,38.64057499,22.9887407,47.17022828,22.09860487,29.84314029,33.07766869,51.66509066,54.53509916,43.67547608,35.03611645,29.51597498,64.98918345
K03868_RING-box protein 1,0,0.562144178,0,4.97001361,2.268911065,1.454854279,0.703523878,1.778975563,0.477232413,0,0,1.783509044,1.471860761,1.920397252,3.585087226
K03869_cullin 3,57.22819382,61.25410457,42.56790871,47.55485904,85.03352904,56.86831813,74.67359319,58.87986738,49.03523205,63.485334,61.89632403,76.15721843,110.3203472,87.88327207,47.97246233
"K03872_transcription elongation factor B, polypeptide 1",0,19.37163887,3.545419479,4.066802588,15.24297261,5.448391861,16.93973529,29.45260986,23.60996949,10.38240336,14.68736623,14.2953523,13.24814052,9.651571934,1.354265183
K03885_NADH dehydrogenase [EC:1.6.99.3],0,0,3.869515997,2.235317126,5.992373134,11.5686387,15.11135706,4.556116853,19.62093997,22.46347547,13.96824056,11.04176077,13.81267987,14.28386598,0.651237366
K03927_carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56],45.07054773,69.20425087,51.87594506,49.37318168,83.32531478,21.73004669,22.49040755,39.42783025,43.86393917,36.24134182,29.75256828,18.95554694,34.10053489,25.51678891,25.37129538
K03931_putative isomerase,0,4.088645033,0,4.38162615,1.833608671,1.763599373,1.137098322,0,0,1.853640256,0,0,10.11055123,0,5.794539172
K03932_polyhydroxybutyrate depolymerase,27.33325709,64.53491462,39.51580644,32.02826,20.24339237,31.75828617,67.10334223,21.99732054,15.41667377,22.49820813,29.49118601,38.35257286,20.42085946,23.21983568,46.53794854
K04040_chlorophyll synthase [EC:2.5.1.62],0,0,1.831993803,0.529147202,0,2.036339924,2.793356035,10.65451341,0.558909567,2.954884894,6.466630604,2.572744716,6.369558945,7.771272022,0.524833261
K04043_molecular chaperone DnaK,8.644166358,0,0,0,0,0.883799232,1.709515164,0,0.57982115,0.557353057,0,1.444601883,1.788260762,21.77669518,0
K04078_chaperonin GroES,36.11188784,20.81523196,38.31105,85.88772733,48.29239847,56.03933617,36.61011129,37.91635599,21.13130952,25.59497692,22.27913234,35.13687529,25.58125741,136.0821669,20.91774306
K04079_molecular chaperone HtpG,4043.308413,3011.408861,3291.356952,3090.239424,2235.104724,2198.614375,2298.549331,2368.308859,2061.244333,2334.795138,2260.045166,2453.14215,2266.370239,2357.411749,3336.723727
K04080_molecular chaperone IbpA,25.2675632,25.37555885,0.511683251,1.182343564,2.226524814,2.855351366,1.84101633,4.267369219,0.312211388,4.201584581,8.731662065,21.78015147,38.51638564,7.119304194,42.803709
K04087_membrane protease subunit HflC [EC:3.4.-.-],10.26106079,12.38219325,1.435658042,7.878746233,10.41180669,0,0,0,0.875988787,1.26306628,0.471132845,1.63686904,0.67542223,3.525004616,3.290321575
K04126_isopenicillin-N synthase [EC:1.21.3.1],0,0.290170376,0,0,1.756766689,0,0.363148452,2.754841348,1.970721595,2.131150561,1.854847288,0.613747043,1.899381011,0.330426733,3.238494256
K04345_protein kinase A [EC:2.7.11.11],28.84884477,32.81358064,57.33369513,64.17739122,56.2991057,44.19390061,63.52138559,42.8980364,44.10397118,56.0631088,57.02135928,47.9575914,50.4046785,86.78442697,49.26865084
K04348_serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16],15.06208009,46.97927581,32.05240626,22.70718942,21.02729946,15.99060504,17.10291384,13.41213168,19.10036147,28.14812195,22.63363448,21.7888802,8.561203662,49.8159467,24.24472086
K04371_mitogen-activated protein kinase 1/3 [EC:2.7.11.24],11.37775531,10.9933786,14.51106687,21.6047276,52.67872106,72.21734566,25.93211691,39.49733074,52.80579158,27.95602407,41.93956079,18.44103225,53.15564901,43.04365747,15.70342438
K04382_serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16],65.77577174,92.16823162,74.09609714,97.33617541,87.24150372,59.12939949,50.83810734,60.95630868,36.45244894,59.11093295,83.80743553,64.15859203,75.20742875,105.0798458,94.91363053
K04420_mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25],0,0,0,0,0,0,0,0,0,0,0,0,0,4.406902797,0
K04424_sterile alpha motif and leucine zipper containing kinase AZK [EC:2.7.11.25],10.97506007,0.607006954,1.689111578,3.415142913,3.674977475,4.712883451,3.038678707,0,10.30637352,2.972100339,6.097381913,5.777534134,1.589324861,0.691219164,2.903400447
K04427_mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25],0,0,0,0,0,0,0,0,0,0.873463746,0,0,1.401249104,7.313069278,0
K04456_RAC serine/threonine-protein kinase [EC:2.7.11.1],0,1.315844695,1.830793283,0,11.9496974,0.851366233,6.587122649,10.41038779,1.117086619,1.073799467,3.004012178,2.087383455,3.445273027,0,2.097957335
K04459_dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48],0,2.635809026,1.016663228,0,4.588804368,0,1.192119208,2.780449112,3.234675863,0,0,0,0,8.634232369,0
K04460_serine/threonine-protein phosphatase 5 [EC:3.1.3.16],6.127052157,7.662896826,21.79221112,4.241286256,5.394814208,3.556590048,8.562594947,9.108234195,8.118061203,8.787016496,7.009276707,22.05039965,7.978166523,24.6246748,2.000926808
K04461_protein phosphatase 1B [EC:3.1.3.16],2.257804646,14.01567687,1.158287956,0.820085341,2.899143764,8.217569293,15.05631908,9.333422185,24.98619156,4.689305564,9.80875054,9.5987655,13.86916231,2.751567983,4.645601212
K04487_cysteine desulfurase [EC:2.8.1.7],33.02703442,0,9.710313019,1.905714074,1.793042107,17.82067744,4.447765116,2.811725978,10.55992855,4.350313239,9.330514994,0,14.18161389,8.402680351,0.548951113
K04488_nitrogen fixation protein NifU and related proteins,22.29153445,6.636459076,11.53263451,0.921175208,0,6.082860125,8.598279974,4.706694875,3.522054091,2.648030624,0.276151963,0.596506957,4.192466015,12.54467907,10.28227719
K04499_RuvB-like protein 1 (pontin 52),225.0784946,216.4694035,208.1463748,172.6832927,232.6089433,168.3577031,151.8126296,210.0419181,251.1243491,184.1251406,177.0332337,105.4601792,257.309905,132.0471524,194.8453316
K04507_calcyclin binding protein,0,1.934469176,0,0,0,2.50324638,1.210494841,0.634181708,12.31700997,1.578630045,1.766521227,1.022911738,5.06501603,1.101422444,9.419059426
K04508_transducin (beta)-like 1,0,3.24216201,11.27741072,2.605864852,2.180987708,3.496191796,4.733829665,6.840151464,0.458739015,4.409628598,6.414810935,1.142930446,3.537060441,1.845979274,0
K04523_ubiquilin,25.22791846,22.7300283,23.25673583,26.97719872,8.273794917,27.98463463,17.43993568,20.47582289,23.35834233,53.85563635,37.17643353,50.04156464,19.59591322,2.898280629,16.52405834
K04550_low-density lipoprotein receptor-related protein 1 (alpha-2-macroglobulin receptor),6.483124769,0,0,0,3.618102823,0,0,3.782440899,0,0,6.548746548,0,0,4.083130347,5.716933737
K04561_nitric oxide reductase subunit B [EC:1.7.2.5],0,0,0,0,0,0,0,0,0,0.222880575,0,0,0,31.24968897,0
K04563_cyclin-dependent kinase [EC:2.7.11.22],9.036175278,5.485490578,4.677921161,12.33611284,9.726745254,38.13106619,20.52686196,10.59539618,16.83796346,13.42867128,17.60806202,11.66206875,16.16655926,1.822129313,6.006827775
"K04564_superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",1.291091704,2.142225112,4.967621887,7.461126083,1.441065136,2.772087208,3.574661864,4.519559538,6.668355612,1.165446648,1.304160052,0,5.608982901,0,1.13850743
"K04565_superoxide dismutase, Cu-Zn family [EC:1.15.1.1]",0,1.943205489,0,0,0,0.838183788,0.810641062,0,0,0.528586447,0,0.685020893,0.847981716,4.42558644,0
"K04567_lysyl-tRNA synthetase, class II [EC:6.1.1.6]",46.7700201,51.97649612,54.95686863,50.17835268,21.86657586,29.91290697,41.39857993,59.47195268,27.38688102,23.22888725,27.26468283,29.46226266,50.18596636,23.18547873,80.3922947
K04611_metabotropic X receptor,0,0,7.93690497,0,0,5.272665874,2.039762411,4.298228294,8.993816696,1.995070601,7.441757441,0.861836351,1.066860113,0,15.59163746
K04615_gamma-aminobutyric acid type B receptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680927038,0
K04638_estrogen-related receptor beta like 1,30.80072249,42.23641929,33.33961688,26.614377,83.51767587,34.90826619,42.96964877,36.38318163,40.50128609,23.88563105,56.30463674,27.10438316,20.96354438,11.83957213,7.252129912
K04646_clathrin heavy chain,150.590069,157.5274598,124.6852794,106.6848938,92.21654853,118.0511296,95.90289365,113.7150636,87.03759244,94.60037222,121.3522518,105.4586192,73.90682335,155.6126149,107.6235852
K04688_p70 ribosomal S6 kinase [EC:2.7.11.1],0,0.322826207,0,0,0,0,0,0,0,0,0,0,0,0.735226043,0
K04706_E3 SUMO-protein ligase PIAS1 [EC:6.3.2.-],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04712_sphingolipid delta-4 desaturase [EC:1.14.-.-],5.1939197,0,2.997629345,2.308868333,7.246557872,0,5.39267659,1.515140846,0.609683183,0,1.311623057,0.75950099,1.880360028,4.088971735,4.580089975
K04733_interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],10.88076884,5.01493258,3.488749437,4.030716696,0,5.84049143,9.414288052,2.116050852,0.851485604,6.547924023,7.327268865,6.894690807,7.221822307,0,8.795282672
K04739_cAMP-dependent protein kinase regulator,42.91709492,25.84118537,37.99405536,50.25250483,82.94015808,39.03147715,33.78925797,44.43511032,66.185116,54.58606979,59.48218614,37.52622745,65.79250598,108.219904,22.89694264
K04799_flap endonuclease-1 [EC:3.-.-.-],13.93100579,9.654673126,11.59253586,8.29560462,9.275366934,39.08133242,19.52825973,19.01185228,18.44626239,13.53192086,6.381578411,11.63769409,16.51821909,7.681240932,21.0217476
K04802_proliferating cell nuclear antigen,2257.93491,2565.410258,2233.823561,1963.089205,1131.888314,1099.986907,1361.914188,1274.858792,1269.774227,1225.374866,1001.192109,1086.096924,1176.75823,999.0230278,2054.860201
K04911_potassium voltage-gated channel Eag-related subfamily H member 8,1.990433043,3.302597048,16.84851757,7.963317262,18.88395772,4.985906853,2.06660139,2.322551429,4.672900713,11.22956405,6.031740242,9.895998099,6.485386479,0.626796325,2.632798431
K04936_potassium large conductance calcium-activated channel subfamily M alpha member 1,10.96444761,9.525753677,3.042857906,15.52692239,26.61569185,19.34299994,4.796672033,14.72765336,30.30057423,10.6668847,18.9705027,13.54975037,32.41082855,0.77352943,9.957797516
K04954_hyperpolarization activated cyclic nucleotide-gated potassium channel 1,5.16604376,1.135734731,7.900991373,0.456419391,0,8.083163792,0.733076806,5.391261914,5.785093371,1.390230192,6.222790838,1.801666942,2.973691538,3.25362087,0.933921497
"K04958_inositol 1,4,5-triphosphate receptor type 1",0,0.756016192,0,0,3.05141202,0,4.79846582,12.53224499,1.100312347,5.993603416,5.276819851,5.996727004,2.828126218,0,1.205377595
K04986_polycystin 2,15.31327585,30.30514179,45.69736132,30.80632375,55.92477572,50.67149467,36.37813441,52.02172655,32.97546944,47.04626317,47.60924235,51.31820648,53.11199297,23.96760363,33.73847421
K04990_polycystin 2L1,9.437691894,9.222566844,22.54698479,9.473240001,24.2536493,28.0326366,13.9837876,45.82688665,39.61123736,23.67957483,34.49920006,31.5202202,32.02644385,2.054866555,5.746213857
K05011_chloride channel 2,0,0,0,0.206592289,1.556173257,1.663063071,1.608414805,0,0.654636782,0,0.469444197,0.815501063,1.346002724,0,3.278528308
K05015_chloride channel 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679308673,0
K05016_chloride channel 7,0.554113228,0.306468102,6.15209862,1.923599655,9.88468228,31.81495084,14.38693101,23.32700012,25.02268164,42.43283183,19.99542093,24.54013827,12.89912126,24.49218378,0
K05122_receptor tyrosine kinase-like orphan receptor 1 [EC:2.7.10.1],21.09241664,15.03050099,9.431273901,15.85102809,9.466870369,1.716228364,7.592031056,8.497812245,2.898140447,10.06103912,0.60556441,22.36312258,0.868145086,0.755136392,22.98525792
K05181_gamma-aminobutyric acid receptor subunit beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05218_P2X purinoceptor 4,11.44080842,0,12.83984318,10.49170748,17.31578056,39.77504408,19.72082995,6.829424558,18.28584258,21.11294266,7.274957658,15.37485245,23.17690889,2.941743276,1.597546354
"K05236_coatomer protein complex, subunit alpha (xenin)",10.46491015,22.08738968,28.23377129,31.22208646,13.6402976,22.61927256,15.65254407,28.45660473,13.16658599,27.45171541,23.09468198,27.61523704,18.56292,20.99844106,33.63739138
K05298_glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],72.76659296,125.1459474,118.749981,139.9834017,67.40997636,58.24122011,84.32655288,58.66072213,73.05708628,86.58646384,90.58504894,64.00233193,68.92994295,31.40838054,96.95397337
K05303_O-methyltransferase [EC:2.1.1.-],1.026739217,0,9.481189648,0,0,0,1.421372902,0,0.964182228,2.780460385,1.037131806,3.603333883,0,1.939948807,0
K05309_microsomal prostaglandin-E synthase 2 [EC:5.3.99.3],0,0,0,0,3.511503607,1.125810114,0,0,1.477187331,0,0,0.920088721,0,18.82344319,2.774248607
"K05315_voltage-dependent calcium channel alpha 1, invertebrate",11.49149994,28.68967579,27.78252989,50.26180313,59.25542464,61.85424448,48.80649541,32.06618339,60.87439081,56.73471669,65.06341971,60.47279702,51.1502026,46.03591256,22.79860047
"K05321_potassium voltage-gated channel Shal-related subfamily D, invertebrate",0.907637468,8.03191602,1.396895275,2.824323189,0,14.94062602,9.42370234,6.884042436,8.097202355,8.60274443,7.793008393,4.247129537,21.68713239,0,0
"K05322_potassium voltage-gated channel Eag-related subfamily H, invertebrate",0,1.92151101,2.673483779,5.791503463,5.816662912,6.216195557,18.03579395,24.83018619,5.301618263,4.312152597,30.70704123,19.81316411,30.18652616,2.18808899,1.531809996
"K05326_cyclic nucleotide gated channel, invertebrate",0,0,0,0,0,0,0,0,0,0,0,0,0,11.99241081,2.798499032
K05340_glucose uptake protein,2.433344417,2.918377819,0,1.081701719,0,0,0,3.549207278,0,0,0,0,0,6.130168885,2.507239142
K05349_beta-glucosidase [EC:3.2.1.21],23.58658749,22.37612356,22.65000719,11.91579297,10.51416624,10.23952918,10.31319545,5.452658179,8.06420982,6.352916317,5.545896229,7.889715509,9.486211545,92.05253648,20.22450039
K05350_beta-glucosidase [EC:3.2.1.21],18.70953804,8.176547902,6.264104371,14.77446581,13.52136247,3.447942865,2.522901574,1.124292412,6.362704761,0.605102654,4.9000823,8.055505585,9.811797369,0,26.1787405
K05360_protein-disulfide reductase (glutathione) [EC:1.8.4.2],0,2.351263472,1.635708753,4.252075728,0,7.606468802,1.471304034,0,5.489290392,0.959378212,2.68391252,0,0,0,0
K05366_penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-],7.763114477,0.715601926,4.97824403,1.437900005,0,1.852009795,0,0,0,0.583969347,0.653474353,0.756794287,1.873658817,0,2.85235468
"K05369_15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]",0,0,0,0,3.538074938,1.512438733,21.94109974,17.8774273,9.426312404,11.44552726,18.14437344,18.54101952,17.59636099,0,0
"K05388_voltage-gated sodium channel alpha, invertebrate",16.7380629,6.747957021,14.01554395,7.331640565,14.58557478,3.024235924,9.831642967,8.038748663,9.959309432,4.7651323,10.11841021,7.729952682,9.521888938,21.45335672,9.435032539
"K05389_potassium channel subfamily K, other eukaryote",0.605899511,23.05176872,21.26660652,7.569361744,13.40899062,1.634194807,15.79856781,11.75884906,9.496296679,25.81898482,14.29526626,23.44393452,26.29227931,5.209933202,3.02026688
K05460_hepatocyte growth factor,26.60133258,3.531029903,8.188131739,19.39327596,11.87653916,4.569231669,5.155601124,1.241598419,2.997668546,3.361760231,4.836706126,1.244762467,4.622643587,0,5.62980579
K05516_curved DNA-binding protein,0,0,7.430294015,8.584568963,25.86558614,0,10.69356294,5.633422615,3.62696634,4.35802656,6.827416614,7.906890096,0,0,0
K05521_ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24],1.8731636,2.449241388,7.449196331,5.219082972,7.223481148,18.81885708,10.77442446,21.11319381,40.26141694,29.90546784,11.92694053,9.80812556,33.36150072,1.847968476,12.80830014
K05523_molecular chaperone Hsp31 and glyoxalase 3 [EC:4.2.1.130],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05533_mannan polymerase II complex ANP1 subunit [EC:2.4.1.-],0,0,0,0.326567982,0,0.788659372,0.762744018,1.714420804,1.897148521,0.663139614,5.008956283,0.644546166,1.063837847,0,0
K05539_tRNA-dihydrouridine synthase A [EC:1.-.-.-],2.430086928,3.024064767,0.935003531,3.127591543,0,0,1.261539805,1.063336799,1.426266884,2.193598376,2.761519629,1.066046571,0.879766841,0,3.214340254
K05542_tRNA-dihydrouridine synthase 1 [EC:1.3.1.88],0,0,0,0,0,8.54726889,3.815264105,5.895707474,11.64630639,11.19501155,6.031740242,3.22403558,10.6426855,4.632400718,0
K05544_tRNA-dihydrouridine synthase 3 [EC:1.3.1.89],0.62986639,0.348365546,0,0.373328468,0.468687851,0.300528538,0.145326584,0,0,0.094761623,0,0.122806198,0.304041559,0.132231841,0.18514243
"K05546_alpha 1,3-glucosidase [EC:3.2.1.84]",8.304379259,6.792332496,9.554804584,7.468100048,3.686567651,22.93107457,11.05293835,20.4683887,16.1289039,8.214411989,3.669967134,4.716561318,11.66932656,29.69996348,0
K05609_ubiquitin carboxyl-terminal hydrolase L3 [EC:3.4.19.12],1.902803915,2.630999744,4.392752436,0,4.247667885,6.128230525,3.951237879,0.555075184,0.893435105,7.299922897,0.961031988,1.669469158,0,0,1.677926044
K05610_ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12],0,15.21548228,2.815074367,1.203204994,0,7.126427587,0,0.526383425,0.423626784,1.229052516,0.911356379,0,1.306532465,2.861849072,1.62018365
"K05641_ATP-binding cassette, subfamily A (ABC1), member 1",0.783121197,7.416669071,3.896290452,4.075807338,14.53487343,5.378190819,12.40478952,6.893353585,9.644928165,8.474149432,4.341678558,3.95120781,8.597918873,5.814317498,3.646780601
"K05642_ATP-binding cassette, subfamily A (ABC1), member 2",0,0.281072089,0.260712071,0.376516183,0.378151844,1.818567849,0.586269898,1.087151733,0.874926091,0.535196244,0.770009393,1.288089865,3.066376586,0.320066209,0
"K05643_ATP-binding cassette, subfamily A (ABC1), member 3",2.691289748,12.90101627,2.744391502,0.528454147,7.647971677,0,0,0.346785675,4.907328035,2.146192517,1.699081758,1.088883073,0.430377099,0.847499257,2.689890116
"K05655_ATP-binding cassette, subfamily B (MDR/TAP), member 8",6.362299211,8.447799174,6.901985584,11.17927718,16.34989737,6.846023559,9.919400058,19.69101679,22.38277897,25.25312042,18.39669797,29.62639178,13.56157179,4.057703657,11.41834585
"K05656_ATP-binding cassette, subfamily B (MDR/TAP), member 9",9.296100693,17.88014648,12.77413388,10.14321975,5.659602182,5.913821301,10.02319906,0.927393565,17.87498706,11.53972323,14.56967802,14.83715416,11.02393239,0,4.471344822
"K05658_ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]",0,1.435637992,0,0.384627971,0,0,0,0,0,0,0,0,0,9.808854598,0
"K05670_ATP-binding cassette, subfamily C (CFTR/MRP), member 13",0,0.263099974,0,0.845858996,0,0,0,0,0,0,0.961031988,0.556489719,0.344437018,0.898802278,0.838963022
"K05674_ATP-binding cassette, subfamily C (CFTR/MRP), member 10",0,12.73118555,0,4.303561488,1.89181847,9.914989754,0.733247926,4.006400613,11.77484406,2.581856072,1.712090601,1.115317631,1.840856666,1.810018977,0.3736558
K05692_actin beta/gamma 1,496.9805605,773.5141742,498.097345,585.4223294,438.107799,396.1006987,381.4566753,416.6385696,349.0265347,396.7392129,301.7045364,307.0870105,406.7876353,542.4316474,635.3493715
"K05755_actin related protein 2/3 complex, subunit 4",33.42987151,3.189910009,5.656374187,3.176966467,4.443284169,1.278725267,0,13.34095486,0,0,10.85238303,2.090122804,0,14.62853786,4.726598759
K05765_cofilin,26.9247942,39.28395621,64.84639276,20.59868579,23.58652477,26.23822599,24.18712381,26.76293496,31.8931288,13.79424082,22.37944926,30.63183724,33.83960555,17.24853684,28.97528369
K05768_gelsolin,1.935261125,0,0,3.491913575,0,0,0,0.613605708,0,0,0.53118454,5.143026049,0,22.09731543,0
K05791_tellurium resistance protein TerZ,157.6487239,101.1325342,97.97182699,113.2747535,96.53529933,65.14332724,58.43118557,108.7389155,79.23114556,68.65619931,59.06592461,37.77743459,66.78985623,130.7089082,149.7801866
K05794_tellurite resistance protein TerC,170.1633895,252.411704,180.3828806,200.7320704,201.3601297,254.3409,240.0251001,232.8257169,244.4041824,264.6793098,181.35877,224.4360508,196.2588948,316.8329773,204.7579735
K05795_tellurium resistance protein TerD,8.750655821,8.335210117,5.615957993,7.998579536,3.255711164,3.847893061,0,1.711880579,4.801657282,2.424007894,1.479025753,1.993857116,2.816007841,14.16775832,12.00341738
K05838_putative thioredoxin,1.408281563,0.370749447,2.063360819,3.292886299,0,3.455076978,2.343363751,2.757381917,6.689062618,6.41460451,10.02315364,8.843491988,5.436929798,0,0
K05849_solute carrier family 8 (sodium/calcium exchanger),149.9606032,81.2206303,133.3234731,101.5823883,142.1416527,130.9749637,141.4460493,134.9145334,121.3010036,172.4058523,133.7184045,139.3031056,158.8731623,158.5420712,83.95386627
"K05850_Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]",8.934893237,12.45604365,6.415224792,20.15191042,14.52439652,27.83811283,17.96316684,14.57868639,9.321402992,11.53781556,11.02265629,10.92645036,10.02299048,23.30774535,15.62860764
"K05853_Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:3.6.3.8]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K05863_solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31",110.8783717,110.1591128,102.658296,81.0231916,105.7259477,101.6152445,104.894689,96.07479405,101.0414987,53.16726291,71.18816739,53.34994024,86.65062931,56.27070669,98.53263611
K05864_peptidyl-prolyl isomerase D [EC:5.2.1.8],4.034925318,4.463260726,3.298602412,1.182091122,3.248926416,7.307914901,3.237066825,0.661927157,8.5233709,10.19027955,5.475975227,13.13119651,8.445519485,8.532343184,1.000463404
K05868_cyclin B,50.39643295,74.45602596,36.62190302,60.17632395,105.4288034,80.99594716,100.7852521,85.75535537,82.75973808,110.8796682,84.79869165,90.50943557,97.51605702,59.93180501,51.20237486
K05869_calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17],0,0,0,0,3.482832112,1.116617852,1.07992578,2.730769536,1.465126068,2.992748794,1.575976823,0.456288089,0,0.491309195,0.343949602
K05914_photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7],7.824460928,7.212568265,4.014066881,1.159410176,16.01114468,7.46657972,0,5.325850691,0.612311128,1.765752141,2.634553209,2.288324104,6.6096276,0,0
K05916_nitric oxide dioxygenase [EC:1.14.12.17],54.4209525,14.01094052,15.45944031,28.82459846,59.40121982,49.75817872,20.16328352,47.85489954,19.92324528,19.16613329,5.350916004,30.30419802,23.33302795,34.9837095,52.52744276
K05917_sterol 14-demethylase [EC:1.14.13.70],0,1.342231955,0,3.891065628,21.15278423,4.010601053,5.577695369,6.268496872,9.954959888,5.606102055,8.490748593,10.08808882,7.216417892,1.837605277,0
K05925_mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62],3.552397134,0.491188602,3.417062805,2.763525625,2.973783143,0,2.458891674,0,0.416994662,0.400836102,0.448544284,0,0,24.61064867,3.915708039
K05955_protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59],0,0,1.067146887,0.308231277,0,0.992501812,2.399720484,2.427234801,1.302272101,3.129522511,3.502003502,2.433420285,2.510259091,0,1.222873527
K05970_sialate O-acetylesterase [EC:3.1.1.53],12.4405253,33.35626368,14.96746592,20.6040146,16.22947525,6.230393786,9.797197375,15.03358446,7.537087881,5.110986776,8.327422455,16.33361691,4.316806981,97.43511514,19.98385087
K05989_alpha-L-rhamnosidase [EC:3.2.1.40],0.942510351,0,0,0,0,0.674550816,0,0,0,0,0,0,0,8.310421059,0
K06013_STE24 endopeptidase [EC:3.4.24.84],7.11491634,6.565107944,0.729068515,1.065488034,8.32018878,8.469577403,3.752352164,16.5070238,6.94991257,12.45255726,9.722324063,6.561355251,10.45840497,1.549036261,1.150784649
K06027_vesicle-fusing ATPase [EC:3.6.4.6],0,0,0,0,5.615161888,3.900555041,2.901832899,0.489184042,5.117959432,3.216686579,3.811279746,0.980861325,3.339050406,0,0
K06047_tubulin---tyrosine ligase [EC:6.3.2.25],0,0,0,0,0,0,0,0.343189712,0,0,0,0,1.277743026,0,1.037421547
K06051_delta,4.693058261,1.038251812,0.722282976,2.086218931,1.047640942,2.687042133,1.299372953,0,4.407120424,6.354516495,5.68867332,16.47025415,9.514582853,0,4.138421526
K06052_jagged,0.570303153,0.473133602,3.291459177,1.774629713,5.410672146,3.877554596,3.158011047,5.656430625,2.945557019,4.633227107,5.47271939,4.670107879,2.890544021,0,1.508710128
K06063_SNW domain-containing protein 1,13.56523389,6.138522773,2.846933305,1.096398753,0,2.647795254,2.560788679,1.438972081,0.579033349,2.226383134,2.49137097,0,0.89291553,2.330047209,6.52476133
